school,avgscrwrite,phone
Big Picture Educational Academy,,(559) 420-1234
Fresno COE District-Wide Preschool,,(559) 265-3010
New Spirit Charter Academy,,
Regional Learning Center,,
Worsley,,
Wakefield,,
Day Care High,,
Cook-Hamilton (Otp),,
Kermit Koontz Education Complex,,(559) 443-4863
Juvenile Hall,,
Ashjian (John M.) Educational Center (Court S,,
Addicott (Irwin O.) (TMR),,
Rata (Florence E.) (TMR),,
Reed Clegg Adult and Preschool,,
"Ramacher (Beth) Development Center (Dc,MH)",,
West Valley TMR,,
Monte Vista TMR,,
Westview Hospital,,
Eric White School (TMR),,
Outdoor Education School,,
Konkel School,,
American Union Community Day,,
Auberry Elementary,,
John S. Eastwood Elementary,,
Biola-Pershing Elementary,,
Cantua Elementary,,
Caruthers Elementary,,
Caruthers Union High Alternative Education,,
Caruthers High,,
MARC High (Cont.),,
Central High,,
Pershing High (Cont.),,
Chawanakee Elementary,,
Clovis Community Day Elementary,,(559) 327-1995
James S. Fugman Elementary,,(559) 327-8700
Woods (Harold L.) Elementary,,(559) 327-8800
Clovis Community Day Secondary,,(559) 327-1995
Reagan Elementary,,(559) 327-8900
Granite Ridge Intermediate,,(559) 327-5300
Clovis North High,519.0,(559) 327-5000
Bud Rank Elementary,,(559) 327-4900
Clovis Online Charter,,(559) 327-4400
Roger S. Oraze Elementary,,(559) 327-1700
Virginia R. Boris Elementary,,(559) 327-3800
Clovis Unified Alternative Education,,
Buchanan High,507.0,(559) 327-3000
Excel High,,
Clovis East High,455.0,(559) 327-4000
Center for Advanced Research and Technology,,
Miramonte Elementary,,
Friant Elementary,,
Alternative Education/Independent Study,,
Kastner Intermediate,,
Mickey Cox Elementary,,
Garfield Elementary,,(559) 327-6800
Clovis Primary,,
Maple Creek Elementary,,(559) 327-7300
Cedarwood Elementary,,(559) 327-6000
Copper Hills Elementary,,(559) 327-6300
Clovis Elementary,,(559) 327-6100
Reyburn Intermediate,,(559) 327-4500
Century Elementary,,(559) 327-8400
Riverview Elementary,,(559) 327-8600
Freedom Elementary,,(559) 327-4800
Coalinga-Huron Adult,,
Miles W. Culwell Community Day,,(559) 935-7644
Henry F. Bishop Primary,,
Sunset Elementary,,
Coalinga Junior High,,
Huron Middle,,(559) 945-2926
Fowler Academy Community Day (9-12),,(559) 834-6098
Fowler Academy Independent Study,,(559) 834-6098
Fowler Academy Community Day,,(559) 834-6098
Production Training School,,
Fowler Adult,,
James E. Konkel Elementary,,
John Sutter Middle,,(559) 834-6180
KIPP Academy Fresno,,
Valley Preparatory Academy Charter,,(559) 225-7737
Academy for New Americans,,
Molly S. Bakman Elementary,,(559) 253-6610
Akira Yokomi Elementary,,(559) 457-6140
Design Science Early College High,468.0,(559) 248-7353
Valley Arts and Science Academy (VASA),,
Inspire Destiny Academy Charter,,
Deborah A. Williams Elementary,,(559) 248-7540
Mario G. Olmos Elementary,,(559) 253-6620
Sierra Charter,,(559) 490-4290
University High,593.0,(559) 278-8263
Fresno Academy for Civic and Entrepreneurial Leadership,,
Vang Pao Elementary,,(559) 457-3380
Fresno City and Fresno State Preschools,,(559) 457-3220
Phoenix Secondary,,(559) 253-6520
Morris E. Dailey Charter Elementary,,(559) 248-7060
Kepler Neighborhood,,(559) 492-7717
Rutherford B. Gaston Sr. Middle,,(559) 457-3074
Phillip J Patino School of Entrepreneurship,,(559) 248-7360
Aspen Public,,(559) 225-7737
Fresno Technical High,,
Freedom High (Special Educatio,,
McLane Continuation,,
Hoover Continuation,,
Washington Occupational Center,,
Cambridge Continuation High,,(559) 253-6560
School of Unlimited Learning,,(559) 498-8543
New Millennium Institute of Education Charter,,
Sunnyside High,399.0,(559) 253-6700
Florence E. Rata,,(559) 451-4585
Fresno Prep Academy,,
Renaissance Charter,,
Carter G. Woodson Public Charter,,(559) 229-3529
NorthStar High School Academy,,
Heckman Elementary,,
Emerson Elem.,,
Franklin Elementary,,
Lafayette Elementary,,
Manchester Elementary,,
Sunshine Physically/Educationa,,
Teilman Elementary,,
Addams Junior High,,
Hamilton Freshman,,
Irwin Junior High,,
Sierra Freshman,,
Fresno City Unified Special Cl,,
Bethune Elementary,,
Opportunity School,,
Ginsburg Physically and Educ. Handicapped,,
Opportunity (Continuation),,
Newcomer's Program School,,
Kisling Center (Spec. Ed.),,
Burroughs Annex,,
Susan B. Anthony Elementary,,(559) 457-2520
Edith B. Storey Elementary,,(559) 253-6530
Ann B. Leavenworth,,(559) 253-6490
Fulton Special Education,,(559) 453-6365
Elizabeth Terronez Middle,,(559) 253-6570
Gateway Academy,,
Irwin O. Addicott Elementary,,(559) 253-6640
David L. Greenberg Elementary,,(559) 253-6550
Cornerstone Academy,,
Year-Round Achievement Center at Southeast,,
Hamilton Elementary,,(559) 248-7370
Pinnacle Middle School Academy Community Day,,
Phoenix Elementary Academy Community Day,,(559) 248-7500
West Fresno Performing Arts Academy,,
One Step Up Charter Academy,,
Osagie International Academy Charter,,
Western Elementary,,
West Fresno Alternative Education,,
A Touch of Love Academy,,
Friant Elementary,,
Cantua Elementary,,
Helm Elementary,,
San Joaquin Elementary,,
Herndon Elementary,,
Houghton-Kearney Elementary,,
Kerman-Floyd Intermediate,,
Kerman-Floyd Elementary,,
Kerman-Floyd Senior Elementary,,
Nova High,,
Kerman High,,
Ronald W. Reagan Elementary,,(559) 897-6986
Island Community Day,,(559) 897-6740
C.A.L.I.S. Independent Study,,
Kingsburg Community Charter Extension,,(559) 897-6740
Little Red Schoolhouse,,
Kingsburg Independent Study High,,(559) 897-3880
Kingsburg Jt. Alternative Education,,
A. L. Conner Elementary,,(559) 305-7200
Thomas Law Reed Elementary,,(559) 305-7300
Orange Cove High,405.0,(559) 626-5900
Dunlap Leadership Academy,,(559) 305-7320
Silas Bartsch,,(559) 305-7280
Kings Canyon Unified School District Wide Preschools,,(559) 305-7270
KC KIDS Pre-School,,(559) 305-7130
Reedley Middle College High,,(559) 305-7050
Smith Mountain,,
Las Deltas Elementary,,
Laton Community Day,,
Laton Unified Alternative Education,,
Madison Elementary,,
El Capitan Elementary,,
McKinley Elementary,,
Roosevelt Elementary,,
McCabe Elementary,,
McCabe Junior High,,
Washington Elementary,,
National University Academy - Orange Center,,
California Virtual Academy @ Fresno,,(805) 581-0202
Academy of Arts and Sciences: Fresno,,(855) 937-4227
Oro Loma Elementary,,
S Ben Benavidez Elementary,,(559) 646-2963
Crescent View Charter High,,
Academy Charter,,
San Joaquin Valley High,,(559) 646-2723
Parlier Alternative Education Center,,
John C Martinez Elementary,,(559) 646-3527
Parlier Junior High,,(559) 646-1660
Ambassador Phillip V. Sanchez Public Charter,,(559) 255-9017
Riverdale Elementary,,
Fipps Primary,,
Horizon Continuation High,,
Riverdale Joint Unionhigh Alter Educ.,,
Riverdale Adult,,
Riverdale High,,
Ronald W. Reagan Elementary,,(559) 524-6780
Sequoia Elementary,,(559) 524-7500
Hallmark Charter,460.0,(559) 524-7170
Community Day,,(559) 524-6630
Washington Occupational Center,,
Taft Elementary,,
Sanger Headstart Program,,
Sanger Preschool Program,,
Sanger Child Care Center,,
Quail Lake Environmental Charter,,(559) 524-6720
Sanger Academy Charter,,(559) 524-6840
San Joaquin Elementary,,
Selma Independent,,(559) 898-6670
Franklin Elem.,,
Thomas Jefferson Elementary,,
Abraham Lincoln Middle,,(559) 898-6600
Balch Camp Elementary,,
Sierra Elementary,,
Pole Corral Elementary,,
Sandy Bluffs Educ. Ctr (Cont.),,
Willow Creek Educ. Ctr (Cont.),,
Shaver Lake Educational Center,,
Sierra Jt. Union Adult,,
Sierra High,,
Sun Empire Elementary,,
Teague Elementary,,
Tranquillity Elementary,,
Tranquillity Adult,,
Rio de Plata High,,
Rio Del Rey High,,
El Portal High  YR (Indend St.),,
Tranquillity High,,
Blue Mountain Wilderness,,
Rosalyn Charter,,
West Park Intermediate,,
West Park Middle,,
West Park Charter Academy,,(559) 233-6501
Crescent View South Charter,,(559) 222-8439
Opportunities For Learning - Fresno,,(626) 921-8200
California STEAM,,(530) 391-4425
Firebaugh Community Day,,(559) 659-3899
Riverview Alternative Education,,
Firebaugh-Las Deltas Adult,,
Firebaugh-Las Deltas Adult,,(559) 659-3899
Firebaugh Community Day,,
James K. Polk Elementary,,(559) 274-9780
Harvest Elementary,,(559) 271-0420
Pathway Community Day,,(559) 487-1201
Glacier Point Middle,,(559) 276-3105
Pathway Elementary Community Day,,(559) 487-1201
Hanh Phan Tilley Elementary,,(559) 512-6912
Central High East Campus,449.0,(559) 276-0280
Central High,,
William Saroyan Elementary,,(559) 276-3131
John Steinbeck Elementary,,(559) 276-3141
Norman Liddell Elementary,,(559) 276-3176
River Bluff Elementary,,(559) 276-6001
Rio Vista Middle,,(559) 276-3185
Goldenrod Elementary,,(559) 843-9500
Kerman Unified Alternative Education,,
Kerman Adult,,
Kerman Adult,,
Kerman Community Day,,
Kerman-Floyd Intermediate,,
Liberty Elementary,,(559) 843-9300
Mendota Elementary,,(559) 655-2014
Mendota Unified Community Alternative Educ.,,
Mendota High,378.0,(559) 655-1993
Mendota Community Day,,(559) 655-4471
Auberry Elementary,,
Balch Camp Elementary,,
Sierra Elementary,,
Pole Corral Elementary,,
Golden Plains Community Day,,
Golden Plains Community Day II,,
Rio de Plata Continuation High,,
El Portal High YR (Indend St.),,
Westside Adult (Three Rocks Center),,
Wood (Howard C.) High,,
Sierra Junior High,,(559) 855-8311
Foothill Elementary,,(559) 855-3551
Black Mountain Adult,,(559) 855-7792
Oak Meadow Community Day,,(559) 855-4347
University High,,
Foothill Middle,,
Lodge Pole Elementary (Alternative),,(559) 855-4347
Ponderosa Community Day,,
Riverdale Adult,,
Riverdale Community Day,,
MARC Community Day,,
MARC High,,(559) 495-6443
Easton Community Day,,(559) 485-8805
Elm High,,(559) 485-8805
Anchor Academy Charter,,
W. E. B. DuBois Public Charter,,(559) 486-1166
Glenn Adult Program,,(530) 934-6320
Walden Academy,,(530) 361-6480
Success One!,,(530) 934-6320
Conservation Corps of Long Beach Gateway Cities Charter,,(562) 216-1790
Glenn County Opportunity,,
Glenn County Juvenile Court,,(530) 934-6353
Ralph L. Herman Development Ce,,
Mill Street Special Education,,
Glenn County Superintendent Ed,,
"Glenn County Superintendent, W",,
Lake Special Ed Facility (EMR),,
"Glenn County Superintendent, P",,
Glenn County Workshop (Handicapped Adults),,
"Glenn County Superintendent, P",,
Hamilton Special Education (Ap,,
Hamilton Adult,,
Community High (Cont),,
Fairview Elementary,,
Mill Street Elementary,,
Price Intermediate,,
North Valley High (Cont.),,
Orland High,,
Princeton Adult School,,
Princeton Landing High (Cont),,
Princeton High Community Day,,
Butte City Elem.,,
Codora Elem.,,
Princeton Primary,,
Princeton Elementary Community Day,,
Stony Creek Community Day,,
Stony Creek Elementary Community Day,,
Willows High Community Day,,
Artois Elementary,,
Bayliss Elementary,,
Birch Kindergarten,,
Kanawa Elem. (Defunct),,
Willows Elementary Community Day,,
Willows Intermediate Community Day,,
Orland Elementary Community Day,,
Orland Community Day,,(530) 865-1264
Hamilton Adult,,(530) 826-3331
Hamilton Community Day,,(530) 826-3261
Hamilton Elementary Community Day,,
Eel River Community,,(707) 725-0209
Eureka Community,,(707) 445-7108
Southern Humboldt Community,,(707) 923-2550
Hoopa Community,,
Humboldt County Office of Education Court,,(707) 268-3380
Humboldt County Office of Education Juvenile Hall Court,,(707) 445-7094
Northcoast Preparatory and Performing Arts Academy,579.0,
Eel River Success Academy,,
Northcoast Preparatory and Performing Arts Academy,,(707) 822-0861
Von Humboldt High,,
Cypress Avenue School for TMR,,
Glen W. Paul School for Ph,,
Humboldt ROP,,
Humboldt County Community Schools,,
Fuente Nueva Charter,,(707) 822-3348
Union Street Charter,,(707) 822-4845
Redwood Coast Montessori,,(707) 832-4194
Manila Elementary,,
Stewart Elementary,,
Coastal Grove Charter,,(707) 825-8804
Trillium Elementary,,
Six Rivers Charter High,472.0,(707) 825-2428
American Indian Academy,,
Laurel Tree Charter,,(707) 822-5626
Northern Humboldt Community Day,,
Pacific Coast High,,
Northcoast Charter,,
Bluff Prairie Elementary,,
Georgeson Elem.,,
Birney (Alice) Elementary,,
Franklin Elementary,,
Grant Elementary,,
Jefferson Elementary,,
Lafayette Elementary,,
Lincoln Elementary,,
Marshall Elementary,,
Washington Elementary,,
Worthington (Elem),,
Ruby H. Winzler Children's Cen,,
Eureka Elementary Community Day,,
Humboldt Bay High (Cont.),,
Eureka Secondary Community Day,,
Barnum (Zoe) High (Cont.),,
Eureka Adult,,
Eureka Senior High,,
Zane (Catherine L.) Junior High,,
George C. Jacobs Junior High,,
Winship Junior High,,
Cic Program,,
Ferndale Elementary,,
Triple Junction High,,
Ferndale High,,
Strongs Creek Community Day,,
Academy of the Redwoods,524.0,(707) 476-4203
Fortuna Adult Education,,(707) 725-4462
Freshwater Charter Middle,,(707) 442-2969
Grizzly Bluff Elementary,,
River's Edge Community Day,,
Two Rivers Community Day,,
Pacific View Charter,,(707) 269-9490
Mattole Union Elementary,,
Upper Matole Elem. (Defunct),,
Honeydew,,
Honeydew Elementary,,
McKinleyville Elementary Academy,,
Trillium Charter,,(707) 822-4721
Alder Grove Charter,,(707) 268-0854
South Bay Charter,,(707) 443-4828
Miranda Junior High,,(707) 943-3144
Southern Humboldt Adult Educ.,,
Southern Humboldt Community Day,,
Jewett (Alice) Elementary,,
Piercy Elem(Defunct),,
Mattole Triple Junction High,,(707) 629-3250
Mattole Valley Charter (#159),,(707) 629-3634
Winship Middle,,(707) 441-2487
Humboldt Bay High,,
Eureka Secondary Community Day,,
Franklin Elementary,,
George C. Jacobs Junior High,,
Eureka Elementary Community Day,,
Redwood Preparatory Charter,,(707) 768-1928
"UC Online Academy, Imperial",,
Valley Academy,,(760) 312-5525
Imperial Pathways Charter,,(760) 312-5525
Imperial County Community Scho,,
El Centro Community,,
Brawley Community,,
Calexico Community,,
Esther Huff,,
Kepley School for P.H.,,
Peg Jensen School (TMR),,
Pregnant Minors,,
Visually Handicapped Department,,
Imperial Valley Center for Exc,,
Myron D. Witter Elementary,,(760) 344-0750
Phil D. Swing Elementary,,(760) 344-3350
Ruth Reid Elementary,,
Soroptimist TMR,,
Resource Center,,
Renaissance,,(760) 312-5100
Enrique Camarena Jr. High,,(760) 768-3808
Cesar Chavez Elementary,,(760) 768-6400
Calexico Community Day,,
Hoffman Elementary,,
William Moreno Junior High,,(760) 768-3960
Phoenix Rising High,,(760) 336-4555
Southwest High,468.0,(760) 336-4100
Ballington Academy for the Arts and Sciences,,(760) 353-0140
El Centro District Wide Preschool,,(760) 352-5712
Imagine Schools at Imperial Valley,,(760) 592-7250
Imperial Valley Home School Academy,,(760) 335-5100
Sunflower Elementary,,(760) 337-4890
Dogwood Elementary,,
Heber Junior High,,
Freedom Academy of Imperial Valley,,(760) 356-2974
Verde Elementary,,
T. L. Waggoner Elementary,,(760) 355-3266
San Pasqual Vocational Academy,,(760) 572-0222
San Pasqual Valley Middle,,
Phoenix Community,,
Inyo County Special Education Preschool,,(760) 873-3262
YouthBuild Charter School of California,,(213) 741-2600
YouthBuild Charter School of California Central,,
The Education Corps,,(323) 249-7845
College Bridge Academy,,(323) 249-7845
Inyo Heights Opportunity,,
Jill Kinmont Boothe,,(760) 873-3262
Opportunity,,
Inyo County Adult Education,,
Alabama Hills Community Day,,
Camp Inyo,,
Bristlecone Community Day,,
Big Pine Academy,,
Palisade High,,
Eureka Dunes High,,
Palisades Continuation,,
Line Street Elementary,,
Sunshine Continuation High,,
Death Valley High Academy,,(760) 852-4303
Lo-Inyo Elementary Community Day,,
Sierra Alternative Learning Academy,,(760) 876-5577
Blue Sky Continuation,,
Lone Pine Adult,,(760) 876-5579
Darwin Elem.,,
Owens Valley Community Day,,
Bishop Union Elementary Community Day,,(760) 872-1381
Bishop Union Elementary Community Day II,,(760) 872-1278
Bishop Independent Study,,(760) 938-2001
Golden State Virtual Academy,,
Community Day School III,,(760) 872-3680
Keith B. Bright High (Juvenile Hall),,(760) 872-3680
Wonderful College Prep Academy,377.0,(661) 454-3000
Grimmway Academy,,(661) 855-8200
Erwin Owen High,,
Kern County Youth Facility (Ce,,
Calif Correctional Institute,,
Jamison Children Center,,
Crisis Resolution Center,,
Kern County Community Learning Center,,
Valley Oaks Charter,502.0,(661) 852-6700
Central School,,
Fruitvale Special Education,,
Sunset Child Care Center,,
Kern County Shelter Care,,
Aurally Exceptional Center,,
Harry E. Blair Learning Center,,
Wasco Orthopedically Exception,,
Wasco Demonstration Child Care,,
Shafter Migrant Child Developm,,
Child Guidance Center,,
Junvenile Court Schools (Co. Supt.),,
Bakersfield Learning Center,,
El Camino Real Elementary,,(661) 854-6661
Meridian Preschool,,
Haven Drive Intermediate,,
Bear Mountain Elementary,,(661) 854-6590
Meridian School,,
Rafer Johnson,,(661) 631-5863
Dr. Douglas K. Fletcher Elementary,,(661) 631-5960
Paul L. Cato Middle,,(661) 631-5245
Evergreen Elementary,,(661) 631-5930
Baker (Colonel Thomas) Element,,
Sequoia Middle,,(661) 631-5940
Lincoln Elementary,,
Bessie E. Owens Primary,,(661) 631-5420
Walter Stiern Middle,,(661) 631-5480
Cesar E. Chavez Elementary,,(661) 631-5870
Rafer Johnson Community Day,,
Downtown Elementary,,(661) 631-5920
Bessie E. Owens Intermediate,,(661) 631-5950
Three R's Academy,,
Kiddie Kollege,,
San Lauren Elementary,,(661) 393-5511
Stonecreek Junior High,,(661) 834-4521
Old River Elementary,,(661) 664-7009
Douglas J. Miller Elementary,,(661) 836-6689
Earl Warren Junior High,,(661) 665-9210
Bill L. Williams Elementary,,(661) 837-8070
Ronald Reagan Elementary,,(661) 665-8099
